case,T,n_campaigns,sum_quota_total,sum_quota_used,central_sold,literal,correct,canon,gap,identity_holds
0,1824,1,841,213,819,-49,164,164,213,1
1,2028,3,1120,817,533,-442,375,375,817,1
2,2350,4,1862,134,313,41,175,175,134,1
3,52,1,6,3,24,19,22,22,3,1
4,938,0,0,0,605,333,333,333,0,1
5,2121,6,2052,761,12,-704,57,57,761,1
6,2370,3,2047,418,274,-369,49,49,418,1
7,2216,4,2153,1532,11,-1480,52,52,1532,1
8,59,3,34,32,5,-12,20,20,32,1
9,970,1,891,876,67,-864,12,12,876,1
10,2788,4,2771,461,10,-454,7,7,461,1
11,4267,2,3172,747,713,-365,382,382,747,1
12,4855,5,4613,2244,21,-2023,221,221,2244,1
13,1030,2,782,286,165,-203,83,83,286,1
14,3484,4,2603,1581,852,-1552,29,29,1581,1
15,3144,0,0,0,683,2461,2461,2461,0,1
16,2768,0,0,0,2610,158,158,158,0,1
17,2428,5,2424,433,1,-430,3,3,433,1
18,4005,4,3964,1845,39,-1843,2,2,1845,1
19,4066,3,3402,2342,509,-2187,155,155,2342,1
